Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[enrichment method]	Characteristics[enrichment process]	Characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[enrichment method]	Factor Value[enrichment process]	sampleChecksum	sampleAccession
PXD002255-Sample 11	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 11	ES_XP_Membrane_LM6_224.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_224.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	7a05fa93db03c6cd4825b81f4554c1f2d60bea391f4090ac62fc02bd46459d8c	SAMEA7713841
PXD002255-Sample 12	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 12	ES_XP_Membrane_LM6_225.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_225.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	efb0c112c6a69aad23b0cb6d5112647f2862424de378c0049ce7d7dcf75c099a	SAMEA7713842
PXD002255-Sample 13	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 13	ES_XP_Membrane_LM6_226.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_226.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	657b000b151955d52125bf6dd33f73cd9af36a526026430ae4708658dbc35296	SAMEA7713843
PXD002255-Sample 14	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 14	ES_XP_Membrane_LM6_227.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_227.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	c9833c7bf8107f9bda6fdf55446d5ab9b988aea7328a53cc9f4d5b25050eb4ee	SAMEA7713844
PXD002255-Sample 15	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 15	ES_XP_Membrane_LM6_228.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_228.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	73190ca723ca0c83cabcb1d711d2b3f25b2df09a88bafca04b00631d1df1ae9f	SAMEA7713845
PXD002255-Sample 16	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 16	ES_XP_Membrane_LM6_229.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_229.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	821aa8fadf4376a93e16768984883b0bddd14f46a49faa5d1debaf90e09aeb79	SAMEA7713846
PXD002255-Sample 17	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 17	ES_XP_Membrane_LM6_230.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_230.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	b0dc69f2b4f2facb007a4002bce2897cd978aa3792d0fef893fbb1157d75d2a3	SAMEA7713847
PXD002255-Sample 18	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 18	ES_XP_Membrane_LM6_231.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_231.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	03e6f298675c782828e63154fc3eda0c2c4648a332da322d6570dac97cc55b2c	SAMEA7713848
PXD002255-Sample 19	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 19	ES_XP_Membrane_LM6_232.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_232.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	03760174d90672295a82b242cb3000f17a90cb9dd56f7893b4974d6a0914bdc9	SAMEA7713849
PXD002255-Sample 20	Homo sapiens	membrane proteins	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 20	ES_XP_Membrane_LM6_233.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_LM6_233.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	1197b0f5eaf333cd1b3984d5195d19522058cb693a2d49f02e492a1aba5d19b7	SAMEA7713850
PXD002255-Sample 21	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 21	ES_XP_NE_97L_368.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_368.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	6a7c5d55491d49e6308e28938e89c732c31d006cd86528052874ae61bbb6f139	SAMEA7713851
PXD002255-Sample 22	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 22	ES_XP_NE_97L_369.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_369.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	8ee48eb694b84b3426b16c8baea21c72c37a8dc57f4524059291775a3673de42	SAMEA7713852
PXD002255-Sample 23	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 23	ES_XP_NE_97L_370.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_370.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	3743f98ed36dbf85f8f46b9c48e40304c1258ae6a7f94c972ffdd875561425db	SAMEA7713853
PXD002255-Sample 24	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 24	ES_XP_NE_97L_371.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_371.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	0642160c5b710914e0595e04615797d53f248f82f44125e95429d3bbfff487d4	SAMEA7713854
PXD002255-Sample 25	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 25	ES_XP_NE_97L_372.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_372.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	68c23a187d6cf11d71ee1f72efb6d2133ed0d3702b14f28b328ae3711140d650	SAMEA7713855
PXD002255-Sample 26	Homo sapiens	nuclear extracts	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 26	ES_XP_NE_97L_373.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_97L_373.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	d098abbae2ba902ba0fa9353ab0b786ef9f904a74fe9827b9be51b9e3955c076	SAMEA7713856
PXD002255-Sample 27	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 27	ES_XP_NE_LM6_362.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_362.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	a66b94f6ff86e426e225ddced8cfcecc7722aff4915ea12d0d661738d12020fc	SAMEA7713857
PXD002255-Sample 28	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 28	ES_XP_NE_LM6_363.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_363.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	81116087cd26034339e126a24c4fd77e974f20ec853250724a851f1c131af15d	SAMEA7713858
PXD002255-Sample 29	Homo sapiens	nuclear extracts	39Y	adult	Chinese	HCCLM6	not available	male	hepatocellular carcinoma (HCC)	TFRA DNA pull-down	enrichment of nuclear extracts protein	not synthetic	run 29	ES_XP_NE_LM6_364.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_NE_LM6_364.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	TFRA DNA pull-down	enrichment of nuclear extracts protein	30eec1b6607ca914f8d7f03071cb26d1fd3e377f027e4e7fbc64fa4a8fa8ba6c	SAMEA7713859
